FunctionName  	              Samples
cAutoDisplayMutex::cAutoDisplayMutex      	              15
cAutoDisplayMutex::~cAutoDisplayMutex     	              8
cWinDisplayDevice::WaitForMutex           	              13
cWinDisplayDevice::ReleaseMutex           	              6
cWinDisplayDevice::GetCurrentModeInfo     	              2
cWinDisplayModeOperations::GetModeInfoEx  	              1
cWinDisplayDevice::GetLockCount           	              2
cRelocationSetBase::cRelocationSetBase    	              1
cWinDisplayProvider::ShowMainWnd          	              7
cWinDisplayDevice::IsModeSet              	              14
cDDProvider::DoProcessMessage             	              9
cDisplayDevice::Release     	              2
cDisplayDevice::EnumModeToModeInfo        	              10
cWinDisplayProvider::`vector deleting destructor'       	              14
cWinDisplayModeOperations::DoFlush        	              3
cDirectDDModeOps::DoPageFlip              	              4
cDirectDDModeOps::DoUnlock  	              2
cPhoney512ModeOps::DoLock   	              3
cPhoney512ModeOps::DoUnlock 	              4
cDDModeOpsBase::RestoreSurfaces           	              5
ResLock       	              11
ResUnlock     	              7
cMultiPool::Alloc           	              68
cMultiPool::Free            	              46
cMultiPool::GetSize         	              157
ResVerifyAlloc              	              199
ResCacheRemove              	              2
ResCacheAdd   	              1
ResMalloc     	              197
SetDebug      	              72
ResFree       	              205
cAutoLock::cAutoLock        	              159
cAutoLock::~cAutoLock       	              85
cMultiPool::SelectAlloc     	              22
cMultiPool::PoolAlloc       	              26
IndexFromSize 	              58
cMultiPool::AllocatorAlloc  	              2
cMultiPool::SelectFree      	              37
cMultiPool::PoolFree        	              59
cMultiPool::AllocatorFree   	              7
_ResThreadUnlock            	              4
cResCache::Add              	              2
cResCache::Remove           	              1
sRSCItem::sRSCItem          	              1
cResCache::RemoveItem       	              1
cResSharedCache::DoFindClient             	              2
cRSCItemHashFunc::Hash      	              1
cResCache::GetHashValue     	              2
mouse_wait_for_queue_mutex  	              3
mouse_release_queue_mutex   	              1
default_mouse_ticks         	              11
mouse_update_vel            	              14
_mouse_get_xy 	              27
mouse_put_xy  	              3
mouse_get_time              	              3
_mouse_next   	              8
mouse_generate              	              6
mouse_set_velocity          	              7
cThreadSyncObject::~cThreadSyncObject     	              3
cThreadSyncObject::operator`void  *'      	              19
cThreadEvent::Reset         	              2
cThreadSyncObject::AssertUseable          	              10
cThreadEvent::Set           	              10
kb_next       	              4
mouse_get_xy  	              13
mouse_next    	              4
cDefaultInputDevicesSink::OnMouse         	              5
_kb_next      	              3
kb_get_queue_available_signal             	              19
cWinGameShell::BeginFrame   	              2
cWinGameShell::EndFrame     	              7
cWinGameShell::PumpEvents   	              16
cWinGameShell::GetTimerTick 	              16
cWinGameShell::StaticWndProc              	              18
cWinGameShell::DoPumpEvents 	              10
cWinGameShell::PreTranslateMessage        	              9
cWinGameShell::WndProc      	              31
cWinGameShell::cWinAppAdviseSink::PreTranslateMessage   	              2
cWinInputDevices::~cWinInputDevices       	              22
cWinGameShell::IsQuitSignaled             	              8
cWinGameShell::WindowsTimeToGameTime      	              21
cWinGameShell::IsActive     	              12
cWinGameShell::PumpAllowed  	              24
cWinGameShell::GetHwnd      	              6
cWinInputDevices::ProcessMessage          	              28
cWinInputDevices::GetMouseState           	              5
cWinInputDevices::SetMousePos             	              1
cWinInputDevices::DispatchMouseEvent      	              3
cWinInputDevices::WinMouseToLGMouse       	              4
cCOMConnectionSetBase::Count              	              14
cWinGameShell::ClientToGamePoint          	              6
cWinInputDevices::GetAsyncMouseButtonState              	              1
cWinGameShell::GameToClientPoint          	              3
tm_get_millisec             	              28
uiGetRegionOpacity          	              4
event_queue_next            	              3
region_check_opacity        	              2
event_dispatch_callback     	              4
ui_traverse_point           	              5
uiDispatchEventToRegion     	              9
uiDispatchEvent             	              14
ui_flush_mouse_events       	              5
uiMakeMotionEvent           	              3
do_joy_mouse_emul           	              2
uiPoll        	              16
call_deferred 	              5
ui_mouse_do_conversion      	              7
cursor_draw_callback        	              10
cSndMixer::Update           	              3
cSndMixer::CheckTimer       	              1
cIPtrBase::operator!=       	              2
compute_raycast_times       	              242
PortalRaycast 	              69
explore_portals             	              218
process_objects             	              1
has_portal_to 	              282
examine_portals             	              269
transform_block_r3          	              28
setup_cell    	              315
free_cell     	              147
mark_outgoing_portals       	              102
unmark_outgoing_portals     	              72
add_region    	              118
select_next_region          	              165
initialize_first_region     	              1
portal_traverse_scene       	              72
portal_render_scene         	              164
portal_start_3d             	              7
zero_stats    	              11
check_surface_visible       	              692
PortalGetClipInfo           	              279
compute_portal_z            	              5
get_cached_vector           	              132
poly_outline_by_flags       	              192
draw_surface  	              4419
compute_water_clut          	              12
draw_region   	              992
get_cached_surface          	              551
reset_scan_buffer           	              58
scan_convert  	              844
real_render_poly_float      	              417
do_perspective_poly         	              452
post_render_polys           	              2
reset_clip    	              286
render_poly_perspective     	              415
fast_fix_mul  	              294
PortalClipFromPolygonNaive  	              687
PortalClipFromPolygon       	              182
PortalClipUnion             	              112
ClipAlloc     	              85
PortalClipFree              	              57
code_point    	              986
clip2d_intersect            	              144
clip2d_compute_intersection 	              345
portclip_clip_polygon       	              1307
ptmap_unlit   	              388
ptmap_transp  	              18
ptmap_setup   	              332
pt_get_clut   	              11
ComputeCellForLocation      	              7
PortalDistPointFromPlane    	              12
PortalTestLocationInsidePlane             	              8
PortalTestInCell            	              10
PortalMovePointInsideCell   	              3
portal_crosses_bbox         	              15
PortalCellsInArea           	              23
PortalUpdateCellMotion      	              135
PortalPutVectorZIntoPlane   	              4
PortalTransformWater        	              9
duv_set_size  	              6
calc_uvw_deltas             	              1508
tmap_float_uv_start_part_one              	              687
tmap_float_uv_start_part_two              	              2613
tmap_float_uv_iterate       	              2183
tmap_float_uv_iterate_n     	              1074
tmap_float_uv_cleanup       	              1331
pt_scan_convert             	              128
pt_scan_convert_            	              30
pt_scan_convert_asm         	              1244
pt_asm_outer_loop           	              55
pt_asm_outer_loop_asm       	              12
pt_asm_outer_loop_          	              5307
ptmap_perspective_run_asm   	              403
pt_unlit_perspective_run_   	              175
pt_unlit_perspective_run_asm              	              6542
pt_unlit_perspective_core_asm             	              14
pt_unlit_perspective_core_  	              283
pt_unlit_8_asm              	              171
pt_unlit_8_   	              3501
pt_unlit_8_setup            	              56
pt_unlit_8_setup_           	              13
pt_unlit_8_setup_asm        	              135
pt_clut_8_    	              14
pt_clut_8_asm 	              141
pt_transp_8_  	              14
pt_transp_8_asm             	              302
pt_generic_8_asm            	              147
pt_generic_8_ 	              526
pt_unlit_perspective_unrolled_            	              108
pt_unlit_perspective_unrolled_asm         	              18098
pt_unlit_n_   	              22
pt_unlit_n_asm              	              96
pt_unlit_n_setup_           	              1
pt_unlit_256_n_asm          	              277
pt_unlit_256_n_             	              14197
pt_unlit_256_n_setup        	              89
pt_unlit_256_n_setup_asm    	              9
pt_unlit_256_n_setup_       	              106
pt_clut_n_    	              15
pt_clut_n_asm 	              412
pt_transp_n_  	              5
pt_transp_n_asm             	              161
ptmap_float_uv              	              117
ptmap_setup_uv              	              649
ptmap_float_duv             	              1595
ObjSysEndOfFrame            	              4
ObjDestroyObjects           	              18
ObjUpdateLocs 	              11
push_stack    	              12
r3_start_object_angles      	              5
pop_stack     	              4
r3_rotate_o2c 	              72
r3_start_block              	              70
r3_end_block  	              34
r3_transform_block          	              20
r3_set_prim   	              4
r3_code_polygon_fast        	              513
r3_clip_polygon             	              198
r3_raw_clip_polygon         	              756
r3_intersect  	              255
r3_clip_left  	              114
r3_clip_right 	              153
r3_clip_top   	              113
r3_clip_bottom              	              131
r3_set_clipmode             	              51
r3_set_clip_flags           	              43
_r3_recalc_world_pyr        	              1
_r3_concat_matrix           	              9
r3_set_view_angles          	              4
r3_get_view_pyr_planes      	              15
r3_get_view_pyr_vecs        	              6
r3_set_view_canvas          	              2
r3_start_frame              	              1
_r3_trans_alloc             	              4
_r3_trans_free              	              1
_r3_recalc_w2v              	              3
_r3_recalc_csp              	              45
r3_set_space  	              8
r3_check_facing_3           	              4
r3_compute_camera_planes    	              4
r3_project_block_proj       	              294
r3_transform_block_proj     	              54
r3_compute_prim_funcs       	              456
_r3_end_context             	              1
r3_alloc_context            	              9
r3_free_context             	              1
r3_projectspace_code_points 	              419
r3_transform_block_proj_clip              	              35
r3_transform_block_proj_clip_             	              2
r3_transform_block_proj_clip_asm          	              928
_r3_guts_ctxt_alloc         	              3
_r3_guts_ctxt_free          	              1
_r3_guts_ctxt_start         	              2
_r3_guts_ctxt_end           	              1
_r3_guts_ctxt_swapin        	              2
cGenericLoopClient::ReceiveMessage        	              41
cLoopManager::cLoop::Go     	              12
_ftol         	              219
fabs          	              773
sin           	              1
cos           	              2
memset        	              1342
sprintf       	              1
memcpy        	              164
malloc        	              7
_nh_malloc    	              3
_heap_alloc   	              19
abs           	              2
memcmp        	              238
qsort         	              10
shortsort     	              4
swap          	              1
free          	              10
sqrt          	              3
_ctrlfp       	              1143
_fFCOS        	              10
_fFSIN        	              12
_ctrandisp2   	              58
_ctrandisp1   	              35
_fload        	              29
_output       	              14
write_multi_char            	              4
write_string  	              2
get_int_arg   	              1
_lock         	              18
_unlock       	              5
__sbh_find_block            	              16
_trandisp1    	              65
_rttosnpop    	              3
_rtonenpop    	              2
__endstdio    	              7
_aulldiv      	              1
_aullrem      	              1
PoolAlloc     	              1
cThreadLock::Lock           	              246
cThreadLock::Unlock         	              180
cPoolAllocator::Alloc       	              108
cPoolAllocator::Free        	              72
mx_identity_trans           	              3
mx_mul_trans  	              2
mx_mult_trans 	              5
mx_trans_tmul_vec           	              2
mx_trans_mul_vec            	              98
mx_trans_mul_vec_           	              20
mx_trans_mul_vec_asm        	              410
cRelocationSetBase::SetBaseAddress        	              3
cCOMConnectionSetBase::GetFirst           	              9
cCOMConnectionSetBase::GetNext            	              5
flat8_ubitmap_expose        	              4
flat8_flat8_opaque_ubitmap  	              90
flat8_mono_trans_ubitmap    	              10
memcpy_align_dst            	              8673
joy_read_pots_raw           	              3
joy_read_pots 	              1
joy_read_buttons            	              3
joy_cook      	              15
cLoopDispatch::SendMessage  	              75
MessageToIndex              	              15
cLoopDispatch::ProcessQueue 	              7
cLoopQueue::GetMessage      	              6
